,Image diagonal [pixels],Image size [pixels],Target image,Source image,Target landmarks,Source landmarks
0,23253,"(14789, 17944)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.csv
1,23253,"(14789, 17944)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.csv
2,23253,"(14789, 17944)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.csv
3,23253,"(14789, 17944)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.csv
4,23231,"(14752, 17946)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.csv
5,23231,"(14752, 17946)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.csv
6,23231,"(14752, 17946)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.csv
7,23214.5,"(14760, 17918)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.csv
8,23214.5,"(14760, 17918)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-He-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.csv
9,23204.6,"(14742, 17920)",lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.png,lung-lesion_1/scale-100pc/29-041-Izd2-w35-Ki67-7-les1.csv,lung-lesion_1/scale-100pc/29-041-Izd2-w35-proSPC-4-les1.csv
10,33657.7,"(18940, 27823)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Cc10-5-les2.csv
11,33657.7,"(18940, 27823)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-He-les2.csv
12,33657.7,"(18940, 27823)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-Ki67-7-les2.csv
13,33657.7,"(18940, 27823)",lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.png,lung-lesion_2/scale-100pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-100pc/29-041-Izd2-w35-proSPC-4-les2.csv
