,X,Y
1,63,309
2,77,441
3,79,514
4,119,237
5,129,341
6,174,431
7,197,540
8,206,167
9,253,279
10,267,358
11,313,453
12,366,583
13,352,83
14,377,222
15,429,286
16,433,370
17,484,470
18,501,544
19,490,626
20,614,741
21,584,549
22,621,448
23,635,324
24,528,241
25,440,177
26,499,38
27,588,508
28,172,378
29,181,308
30,319,307
31,762,767
32,690,610
33,754,575
34,740,499
35,768,433
36,764,373
37,719,282
38,791,211
39,803,170
40,682,120
41,766,13
42,894,735
43,838,591
44,958,485
45,958,386
46,972,310
47,998,242
48,899,170
49,887,46
50,835,337
51,873,287
52,1046,616
53,1109,497
54,1127,361
55,1096,245
56,1015,131
57,591,19
58,794,524
59,388,512
60,583,146
61,527,118
62,672,435
63,406,439
64,280,407
65,537,434
66,495,276
67,657,231
68,860,406
69,144,394
70,159,456
71,30,372
