,X,Y
1,59,72
2,122,108
3,168,50
4,209,143
5,170,196
6,245,155
7,303,50
8,461,137
9,447,92
10,510,124
11,487,223
12,445,185
13,532,265
14,491,54
15,696,139
16,747,204
17,558,247
18,545,218
19,548,310
20,577,327
21,597,315
22,559,367
23,526,341
24,497,367
25,410,356
26,446,370
27,504,429
28,409,291
29,369,249
30,464,233
31,468,286
32,692,18
33,597,72
34,751,140
35,209,309
36,253,376
37,317,326
38,286,247
39,46,293
40,133,181
41,139,349
42,139,321
43,124,329
44,694,34
45,573,581
46,628,554
47,613,596
48,572,612
49,266,520
50,272,560
51,293,568
52,748,407
53,83,466
54,86,505
55,468,581
56,400,587
57,415,602
58,653,302
59,672,330
60,659,335
61,632,241
62,626,216
63,818,309
64,590,676
65,585,434
66,591,417
67,614,412
68,291,80
69,182,502
70,165,489
71,293,133
72,227,55
73,670,132
74,535,139
75,619,127
76,435,451
77,536,604
78,59,117
