,X,Y
1,20,227
2,79,242
3,108,172
4,183,258
5,152,304
6,214,267
7,253,154
8,422,199
9,411,161
10,480,182
11,468,280
12,418,255
13,514,316
14,444,116
15,666,161
16,711,210
17,549,294
18,526,268
19,531,356
20,576,371
21,600,361
22,565,416
23,530,399
24,500,425
25,421,427
26,457,434
27,511,486
28,407,362
29,353,333
30,460,302
31,456,349
32,645,39
33,552,116
34,726,155
35,205,406
36,259,470
37,318,404
38,287,336
39,34,436
40,115,302
41,139,465
42,135,437
43,123,448
44,643,58
45,612,623
46,658,590
47,657,638
48,618,655
49,305,614
50,308,651
51,334,653
52,760,424
53,114,599
54,123,635
55,510,645
56,443,654
57,462,666
58,652,336
59,682,360
60,661,372
61,615,276
62,605,256
63,813,312
64,648,707
65,597,475
66,604,454
67,629,451
68,253,187
69,205,611
70,186,592
71,257,232
72,174,166
73,636,164
74,502,193
75,581,162
76,464,508
77,584,649
78,17,274
